feature,mutual_info
year_c,0.6884074066653714
month_cos,0.6205826956278737
month_sin,0.6080448995333945
uhi_lag1,0.42169709915103315
uhi_roll3,0.2937088351921844
lat_cos_m,0.24692396578103448
uhi_roll6,0.2325253806539731
uhi_lag1_f,0.23204691377134523
lat_sin_m,0.23034080639227916
uhi_roll12,0.1983565918750596
t2m_c,0.16526223571578846
is_urban,0.1630272300260358
uhi_lag3,0.15452497380726626
impervious,0.13989107409564028
t2m_x_impervious,0.13067159651831606
night_lights,0.12119547338563041
uhi_lag3_f,0.10796000573378173
uhi_lag6_f,0.106786081265966
tile_lat_bin,0.09529377352108526
lat_lon,0.0945396599295929
uhi_lag6,0.09390777854247379
lat2,0.09259331052228958
lat,0.09214895908109177
tile_lat_bin_f,0.08993468334872468
tile_lon_bin,0.08969391352479406
uhi_lag12,0.08359299687171884
tile_lon_bin_f,0.07988337295991776
dist_to_water_m,0.07874822048805186
lst_night_c,0.07155147506756698
lon2,0.0714755743226716
lon,0.07143914224964742
albedo_wsa_sw,0.05823183386655373
